rank_in_group,image_path,incorrect_tasks,mean_confidence,style_true_name,style_pred_name,genre_true_name,genre_pred_name,artist_true_name,artist_pred_name,verdict,suggested_label,notes,group
6,Realism/eugene-boudin_beach-scene-trouville-1864-1.jpg,style,0.98772,Impressionism,Impressionism,genre_painting,genre_painting,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.,style
7,Cubism/pablo-picasso_three-women-rhythmical-version-1908.jpg,style,0.985924,Analytical_Cubism,Analytical_Cubism,nude_painting,nude_painting,Pablo_Picasso,Pablo_Picasso,likely_label_issue,Analytical_Cubism,Manual audit: model prediction 'Analytical_Cubism' is the correct style label.,style
8,Realism/martiros-saryan_lalvar-1952.jpg,style,0.985689,Expressionism,Expressionism,landscape,landscape,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.,style
9,Realism/martiros-saryan_armenia-1944.jpg,style,0.982395,Expressionism,Expressionism,sketch_and_study,sketch_and_study,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.,style
10,Realism/eugene-boudin_the-port-portrieux-at-low-tide-1874.jpg,style,0.981665,Impressionism,Impressionism,landscape,landscape,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.,style
11,Impressionism/paul-cezanne_l-estaque-view-through-the-trees-1879.jpg,style,0.981637,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.,style
12,Impressionism/paul-cezanne_portrait-of-madame-cezanne-1878.jpg,style,0.975752,Post_Impressionism,Post_Impressionism,portrait,portrait,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Post_Impressionism,Manual audit: model prediction 'Post_Impressionism' is the correct style label.,style
13,Post_Impressionism/paul-cezanne_mountains-in-provence-1890.jpg,style,0.974883,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.,style
14,Impressionism/camille-pissarro_peasant-woman-watching-the-geese-1890.jpg,style,0.970837,Pointillism,Pointillism,genre_painting,genre_painting,Camille_Pissarro,Camille_Pissarro,likely_label_issue,Pointillism,Manual audit: model prediction 'Pointillism' is the correct style label.,style
1,Cubism/pyotr-konchalovsky_abramtsevo-the-boys-at-the-river-drawing-for-the-painting-boys-bathing-1920.jpg,"style,artist",0.994563,Cubism,Expressionism,sketch_and_study,sketch_and_study,Pyotr_Konchalovsky,Martiros_Saryan,ambiguous_taxonomy,style: Expressionism?,"Sketchy handling makes the style debatable, but the artist label should stay current.","style,artist"
2,Cubism/pyotr-konchalovsky_abramtsevo-the-trees-1920.jpg,"style,artist",0.994019,Cubism,Expressionism,sketch_and_study,sketch_and_study,Pyotr_Konchalovsky,Martiros_Saryan,ambiguous_taxonomy,style: Expressionism?,"Sketchy handling makes the style debatable, but the artist label should stay current.","style,artist"
3,Symbolism/nicholas-roerich_himalayas-pink-peak.jpg,"style,artist",0.974521,Symbolism,Romanticism,landscape,landscape,Nicholas_Roerich,Ivan_Aivazovsky,ambiguous_taxonomy,style: Symbolism or Romanticism,"Style boundary is debatable, but the current artist label should stay.","style,artist"
1,Analytical_Cubism/pablo-picasso_friendship-1908.jpg,"style,genre",0.992998,Analytical_Cubism,Cubism,genre_painting,genre_painting,Pablo_Picasso,Pablo_Picasso,model_error,style: Analytical_Cubism; genre: genre_painting,Manual audit: keep true labels; predicted style should be Cubism and predicted genre should be genre_painting.,"style,genre"
1,Baroque/rembrandt_the-resurrection-of-lazurus-a-small-plate-1642.jpg,"style,genre,artist",0.992477,Baroque,Naive_Art_Primitivism,sketch_and_study,religious_painting,Rembrandt,Marc_Chagall,ambiguous_taxonomy,genre: religious_painting?,Religious subject and study/print taxonomy overlap; style and artist should stay current.,"style,genre,artist"
2,Impressionism/claude-monet_coal-dockers.jpg,"style,genre,artist",0.990911,Impressionism,Art_Nouveau,genre_painting,cityscape,Claude_Monet,Nicholas_Roerich,likely_label_issue,genre: cityscape,Genre looks more like cityscape; style and artist predictions are not persuasive.,"style,genre,artist"
3,Northern_Renaissance/albrecht-durer_adoration-of-kings-1493.jpg,"style,genre,artist",0.98518,Northern_Renaissance,Baroque,sketch_and_study,religious_painting,Albrecht_Durer,Rembrandt,likely_label_issue,genre: religious_painting,Religious subject is explicit; style and artist should stay current.,"style,genre,artist"
